Marke;Kostenstelle;erpId;orderId;Bestellnummer;Bestelldatum;Versuche;Erster Fehler (UTC);Letzter Fehler (UTC);Angefragter Pfad
Aposto;Bar Aposto Aalen;10118;558655;392;2026-04-26;3;2026-08-02T19:27:20.028Z;2026-08-02T19:48:36.661Z;/api/10118/shop-order/558655/change?order_by=name
Aposto;Bar Aposto Aalen;10118;571455;402;2026-05-17;4;2026-08-02T18:20:16.230Z;2026-08-02T18:53:43.147Z;/api/10118/shop-order/571455/change?order_by=name
Aposto;Bar Aposto Aalen;10118;575422;404;2026-05-23;4;2026-08-02T18:03:58.661Z;2026-08-02T18:32:19.449Z;/api/10118/shop-order/575422/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;139182;2;2022-09-28;4;2026-08-03T23:07:09.725Z;2026-08-03T23:57:51.571Z;/api/10262/shop-order/139182/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;140973;3;2022-10-05;4;2026-08-03T23:06:57.378Z;2026-08-03T23:34:30.721Z;/api/10262/shop-order/140973/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;159078;5;2022-12-20;4;2026-08-03T23:03:45.322Z;2026-08-03T23:29:43.886Z;/api/10262/shop-order/159078/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;160090;6;2022-12-27;4;2026-08-03T23:03:31.986Z;2026-08-03T23:37:45.487Z;/api/10262/shop-order/160090/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;160317;7;2022-12-28;4;2026-08-03T23:03:27.423Z;2026-08-03T23:39:31.600Z;/api/10262/shop-order/160317/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;161049;8;2023-01-02;4;2026-08-03T23:03:17.950Z;2026-08-03T23:42:47.459Z;/api/10262/shop-order/161049/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;161554;9;2023-01-04;4;2026-08-03T23:03:00.910Z;2026-08-03T23:57:50.684Z;/api/10262/shop-order/161554/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;162765;10;2023-01-10;4;2026-08-03T23:02:47.592Z;2026-08-03T23:57:49.057Z;/api/10262/shop-order/162765/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;162947;11;2023-01-11;4;2026-08-03T23:02:44.141Z;2026-08-03T23:57:47.717Z;/api/10262/shop-order/162947/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;163929;12;2023-01-17;4;2026-08-03T23:02:24.035Z;2026-08-03T23:57:46.117Z;/api/10262/shop-order/163929/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;164138;13;2023-01-18;4;2026-08-03T23:02:18.136Z;2026-08-03T23:57:44.941Z;/api/10262/shop-order/164138/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;165675;15;2023-01-25;4;2026-08-03T23:01:54.224Z;2026-08-03T23:29:42.299Z;/api/10262/shop-order/165675/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;166849;18;2023-01-31;4;2026-08-03T23:01:24.620Z;2026-08-03T23:57:43.588Z;/api/10262/shop-order/166849/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;166986;19;2023-02-01;4;2026-08-03T23:01:18.642Z;2026-08-03T23:41:09.860Z;/api/10262/shop-order/166986/change?order_by=name
Enchilada;Bar Enchilada Augsburg;10262;168468;23;2023-02-08;4;2026-08-03T23:00:48.330Z;2026-08-03T23:39:29.839Z;/api/10262/shop-order/168468/change?order_by=name
