lina_betrieb_id;konzept;betrieb;eingangsrechnungen;ausgangsrechnungen;inventur_bruchlisten;kassenbelege;lieferscheine;bwa;susa;kontoauszuege;summe
831;Aposto;Aposto Aalen GmbH;6186;312;129;316;1;52;69;352;7417
3410;Aposto;Aposto Aschaffenburg GmbH;5377;161;24;288;0;27;41;139;6057
203;Aposto;Aposto Augsburg;4795;43;100;2521;0;21;59;135;7674
64;Aposto;Aposto Bamberg GmbH;6604;61;216;6150;0;31;51;196;13309
188;Aposto;Aposto Gera GmbH;6997;177;159;1858;7;82;70;85;9435
10;Aposto;Aposto Karlsruhe GmbH;7009;314;6;4388;1;80;67;91;11956
97;Aposto;Aposto Mainz GmbH;6299;238;339;12639;1;61;71;187;19835
48;Aposto;Aposto Schweinfurt GmbH;4135;307;8;848;20;38;63;160;5579
154;Aposto;Aposto Schwetzingen GmbH;1463;0;31;1;0;60;16;1;1572
5782;Aposto;Aposto Wuppertal - Alter Papierfabrik;0;0;0;0;0;0;0;0;0
1080;Aposto;Aposto Wuppertal GmbH;0;0;0;0;0;0;0;0;0
4469;Besitos;A Testladen Concept Family;0;0;0;0;0;0;0;0;0
196;Besitos;GSF Gastro GmbH;3776;23;289;1791;12;75;70;393;6429
75;Deutsche Konzepte;Alter Kranen GmbH;7935;2;444;7008;0;39;73;387;15888
6;Deutsche Konzepte;B+L Pforzheim GmbH;4959;2;116;1028;0;21;59;126;6311
3352;Deutsche Konzepte;Badischer Hof Ettlingen GmbH;4051;314;5;3487;0;82;69;57;8065
90;Deutsche Konzepte;BS Bier & Speisen Gastro GmbH;10670;53;3;220;0;32;55;16;11049
37;Deutsche Konzepte;Lehners HN Gaststättenbetriebs GmbH;6633;12;130;1766;2;68;74;265;8950
38;Deutsche Konzepte;Lehners Karlsruhe;10082;416;161;962;0;3;53;82;11759
40;Deutsche Konzepte;Lehners Wirtshaus Rastatt GmbH;4478;8;115;5081;0;34;65;355;10136
13;Deutsche Konzepte;Park Cafe München GmbH;12515;2295;58;559;0;57;62;159;15705
3;Deutsche Konzepte;Ratskeller Augsburg GmbH;6633;872;8;4580;0;45;68;61;12267
72;Deutsche Konzepte;Ratskeller Ludwigsburg GmbH;7031;1161;233;555;0;44;74;186;9284
57;Deutsche Konzepte;Ratskeller Saarbrücken GmbH;3812;610;143;2119;2;60;65;224;7035
4762;Deutsche Konzepte;WHK Gastronomie GmbH;3758;47;39;881;0;0;19;46;4790
182;Deutsche Konzepte;Wirtshaus am Schlossplatz GmbH;7575;1171;124;3335;0;28;65;520;12818
4340;Deutsche Konzepte;Wirtshaus Im Jagdgrund GmbH;1390;129;4;1744;0;0;35;28;3330
861;Deutsche Konzepte;Wirtshaus Lautenschlager GmbH;8518;1766;33;4195;0;68;66;23;14669
3516;Deutsche Konzepte;Zenz Wirtshaus GmbH;7373;680;198;3409;0;60;71;99;11890
573;Enchi-Gruppe geschlossene;Alte Post Aachen Gaststättenbetriebs GmbH;14;0;0;0;0;0;0;0;14
250;Enchi-Gruppe geschlossene;Aposto Dresden;7711;54;58;1534;0;89;64;85;9595
33;Enchi-Gruppe geschlossene;Enchilada Stuttgart GmbH;4085;89;124;279;0;56;57;91;4781
160;Enchi-Gruppe geschlossene;Enchilada Wuppertal;0;0;0;0;0;0;0;0;0
267;Enchi-Gruppe geschlossene;GESCHLOSSEN - Aposto Frankfurt GmbH;0;0;0;0;0;0;0;0;0
41;Enchi-Gruppe geschlossene;GESCHLOSSEN Alte Post Aachen GmbH;0;0;0;0;0;0;0;0;0
9;Enchi-Gruppe geschlossene;GESCHLOSSEN Aposto Pforzheim;0;0;0;0;0;2;0;0;2
43;Enchi-Gruppe geschlossene;GESCHLOSSEN Besitos Hannover GmbH;51;0;0;0;0;0;0;0;51
44;Enchi-Gruppe geschlossene;GESCHLOSSEN Besitos Karlsruhe GmbH;1565;14;28;943;0;20;23;31;2624
7;Enchi-Gruppe geschlossene;GESCHLOSSEN Besitos Mainz GmbH;0;0;0;0;0;0;0;0;0
8;Enchi-Gruppe geschlossene;GESCHLOSSEN Besitos Stuttgart GmbH;1;0;0;0;0;0;0;0;1
47;Enchi-Gruppe geschlossene;GESCHLOSSEN Besitos Ulm;5;0;0;1;0;0;0;23;29
49;Enchi-Gruppe geschlossene;GESCHLOSSEN Big Easy München GmbH;28;0;0;0;0;0;0;11;39
456;Enchi-Gruppe geschlossene;GESCHLOSSEN Enchilada Dresden GmbH;0;0;0;0;0;0;0;0;0
