betrieb;monat;om_score;erfasst_von;notiz
COYACAN GmbH;2026-06-01;4;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Köln"", Umsatzprobe exakt"
Enchilada Aalen GmbH;2026-06-01;2;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Aalen"", Umsatzprobe exakt"
Enchilada Aschaffenburg GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Aschaffenburg"", Umsatzprobe geprueft"
Enchilada Augsburg;2026-06-01;1;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Augsburg"", Umsatzprobe exakt"
Enchilada Bayreuth GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Bayreuth"", Umsatzprobe geprueft"
Enchilada Bremen;2026-06-01;4;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Bremen"", Umsatzprobe geprueft"
Enchilada Freiburg GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Freiburg"", Umsatzprobe geprueft"
Enchilada Freudenstadt GmbH ;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Freudenstadt"", Umsatzprobe exakt"
Enchilada Hamm;2026-06-01;1;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Hamm"", Umsatzprobe exakt"
Enchilada Hannover GmbH;2026-06-01;5;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Hannover"", Umsatzprobe exakt"
Enchilada Heilbronn GmbH;2026-06-01;4;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Heilbronn"", Umsatzprobe exakt"
Enchilada Karlsruhe GmbH;2026-06-01;2;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Karlsruhe"", Umsatzprobe exakt"
Enchilada Kempten GmbH;2026-06-01;4;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Kempten"", Umsatzprobe exakt"
Enchilada Leipzig GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Leipzig"", Umsatzprobe geprueft"
Enchilada Marburg GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Marburg"", Umsatzprobe exakt"
Enchilada Minden GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Minden"", Umsatzprobe geprueft"
Enchilada Münster GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Münster"", Umsatzprobe exakt"
Enchilada Nürnberg GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Nürnberg"", Umsatzprobe exakt"
Enchilada Rosenheim GmbH;2026-06-01;2;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Rosenheim"", Umsatzprobe geprueft"
Enchilada Ulm GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Ulm"", Umsatzprobe exakt"
Enchilada Würzburg GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Würzburg"", Umsatzprobe exakt"
GESCHLOSSEN Enchilada Dresden GmbH;2026-06-01;3;Operations Manager (Altdaten);"JULI_Round_Table_Ampelsystem.xlsx, Blatt Eingabe; Zuordnung ueber Stadt ""Dresden"", Umsatzprobe geprueft"
