konzept;bereich;gueltig_von;artikelnummer;bezeichnung;lieferant;rubrik;optional;nur_betriebe;quelle
Wilma Wunder;bar;2026-04-13;300047;"""Acai Berry"" Smoothie (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300070;"""Bali Bowl"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300049;"""Cinnamon Bowl"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;300069;"""Pink Pitaya"" (Pomom)";Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;605;Angostura Bitter;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;9501;Aperol;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;90141;Apricot Brandy;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;964;Bailey's;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;955;Bacardi Rum;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;77751;Berliner Luft;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200022;Blanc de rouge Villa Neus;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;400143;Blütenmix;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;987;Bombay Gin;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;78851;Captain Morgan Dark Rum;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;3915058;Chai und zuckerfrei;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;6750;Dörrorangenscheibe;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;6753;Dörrzitronenscheibe;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;27155;Dunkle Schokoladen Kuvertüre (Heiße Schokolade);Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200217;Gin Sul;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200208;Giffard Veilchen;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
Wilma Wunder;bar;2026-04-13;200147;Giffard Grenadine;Distra;;false;;WW_PAL_Bar_Sommer-Standardkarte_2026.pdf
